Edges,RuntimeInSeconds,Graph
19825,20.4978,1
19825,19.9927,1
19825,19.6817,1
19825,20.4196,1
19825,19.7392,1
19825,20.5235,1
19825,20.1344,1
19825,20.0694,1
19825,19.9045,1
19825,19.9956,1
19526,53.6725,1
19526,54.9095,1
19526,54.4886,1
19526,53.1372,1
19526,53.86,1
19526,52.8093,1
19526,51.5837,1
19526,54.1159,1
19526,52.7588,1
19526,52.3006,1
20095,9.2796,1
20095,9.2541,1
20095,9.184,1
20095,6.2209,1
20095,6.1912,1
20095,9.3467,1
20095,9.1504,1
20095,9.2548,1
20095,9.2726,1
20095,9.2386,1
20438,21.115,1
20438,21.0195,1
20438,20.5411,1
20438,20.3334,1
20438,20.6177,1
20438,20.3273,1
20438,20.3644,1
20438,20.0571,1
20438,20.6194,1
20438,20.9247,1
20677,17.9633,1
20677,17.0552,1
20677,17.0771,1
20677,17.1545,1
20677,17.8885,1
20677,17.5188,1
20677,17.6193,1
20677,17.4073,1
20677,17.2285,1
20677,17.2146,1
21140,14.0501,1
21140,13.7354,1
21140,12.9629,1
21140,13.4866,1
21140,13.0758,1
21140,13.632,1
21140,10.3802,1
21140,12.8824,1
21140,13.1051,1
21140,12.8198,1
21218,23.3769,1
21218,23.4639,1
21218,23.7365,1
21218,23.0365,1
21218,23.5929,1
21218,24.2531,1
21218,23.2464,1
21218,22.923,1
21218,23.4061,1
21218,23.5274,1
21576,15.7422,1
21576,15.5113,1
21576,15.9454,1
21576,15.6924,1
21576,15.6318,1
21576,15.6724,1
21576,15.9817,1
21576,15.4956,1
21576,15.6745,1
21576,15.7202,1
21791,22.388,1
21791,21.0755,1
21791,21.0013,1
21791,21.6098,1
21791,21.9721,1
21791,21.8856,1
21791,21.6663,1
21791,21.9312,1
21791,22.0608,1
21791,22.5811,1
22060,25.0292,1
22060,25.3104,1
22060,25.1336,1
22060,24.6874,1
22060,24.5468,1
22060,25.1988,1
22060,25.2433,1
22060,26.3097,1
22060,24.4246,1
22060,25.28,1
22401,16.7363,1
22401,16.6645,1
22401,16.3801,1
22401,16.4637,1
22401,16.8317,1
22401,16.4348,1
22401,16.3119,1
22401,16.2467,1
22401,16.052,1
22401,16.238,1
22798,19.4691,1
22798,19.449,1
22798,19.1033,1
22798,18.9993,1
22798,18.7783,1
22798,19.124,1
22798,18.6057,1
22798,19.2569,1
22798,18.5345,1
22798,16.0932,1
23169,53.3334,1
23169,55.1354,1
23169,55.0655,1
23169,54.0458,1
23169,55.2719,1
23169,56.269,1
23169,54.3915,1
23169,53.9605,1
23169,57.0975,1
23169,54.4113,1
23325,30.5667,1
23325,30.2034,1
23325,30.1457,1
23325,30.4291,1
23325,30.8846,1
23325,29.8618,1
23325,29.8998,1
23325,30.7657,1
23325,29.4448,1
23325,30.7785,1
23737,14.6454,1
23737,14.7157,1
23737,15.0291,1
23737,14.4281,1
23737,14.5794,1
23737,14.9949,1
23737,14.6296,1
23737,14.6789,1
23737,14.3487,1
23737,14.4146,1
23898,57.3208,1
23898,53.434,1
23898,55.2084,1
23898,56.1265,1
23898,56.0188,1
23898,58.6701,1
23898,58.0601,1
23898,55.6759,1
23898,57.5877,1
23898,57.8499,1
12245,23.8352,1
12245,24.1656,1
12245,23.5459,1
12245,24.5438,1
12245,24.1641,1
12245,24.7771,1
12245,24.7918,1
12245,24.1883,1
12245,24.1027,1
12245,24.6002,1
12654,39.0088,1
12654,39.9207,1
12654,39.7547,1
12654,39.5111,1
12654,39.5789,1
12654,39.5023,1
12654,39.7456,1
12654,39.8692,1
12654,39.7188,1
12654,38.9379,1
12852,8.0962,1
12852,8.0191,1
12852,5.001,1
12852,8.0298,1
12852,8.0383,1
12852,8.0374,1
12852,8.0275,1
12852,8.1435,1
12852,8.155,1
12852,5.0821,1
13533,21.3644,1
13533,20.9475,1
13533,21.2201,1
13533,20.6337,1
13533,21.222,1
13533,20.762,1
13533,21.0622,1
13533,20.5996,1
13533,20.8561,1
13533,20.8929,1
13396,33.6924,1
13396,34.0932,1
13396,33.8106,1
13396,33.7226,1
13396,33.2485,1
13396,33.5064,1
13396,34.078,1
13396,34.3021,1
13396,34.4126,1
13396,34.2562,1
13823,35.2812,1
13823,34.8086,1
13823,35.6002,1
13823,34.9816,1
13823,35.6429,1
13823,34.7744,1
13823,34.8853,1
13823,35.8803,1
13823,34.7417,1
13823,36.1109,1
14031,31.0939,1
14031,30.3822,1
14031,29.9341,1
14031,31.0688,1
14031,31.1816,1
14031,30.7933,1
14031,30.0189,1
14031,29.7685,1
14031,30.2624,1
