Edges,RuntimeInSeconds
25386,58.7857
25386,57.7054
25831,68.0545
25831,68.3156
25831,68.2898
25831,67.6409
25831,71.1134
25831,66.9165
25831,67.7972
25831,67.5684
25831,68.3619
25831,68.2196
25912,27.1864
25912,28.1811
25912,27.1907
25912,27.8851
25912,28.3067
25912,28.5178
25912,27.9893
25912,27.2988
25912,27.0218
25912,27.9006
26266,32.1594
26266,33.2816
26266,33.5831
26266,32.6345
26266,32.8394
26266,32.4335
26266,32.5209
26266,32.725
26266,32.2983
26266,32.8403
26250,28.4059
26250,28.5628
26250,29.0121
26250,29.4964
26250,28.6822
26250,28.6289
26250,28.2741
26250,28.9103
26250,29.2508
26250,28.9235
26663,15.1832
26663,16.1385
26663,15.0088
26663,15.8015
26663,16.0032
26663,15.6318
26663,15.2586
26663,16.2367
26663,15.4913
26663,15.3634
26880,10.4311
26880,7.3846
26880,10.1811
26880,7.2332
26880,10.5806
26880,10.371
26880,10.4723
26880,10.3298
26880,10.4159
26880,10.3613
277,0.2219
277,0.2
277,0.2197
277,0.2083
277,0.175
277,0.2394
277,0.185
277,0.1941
277,0.2251
277,0.2236
544,0.31
544,0.2801
544,0.2894
544,0.2691
544,0.2884
544,0.3194
544,0.2956
544,0.288
544,0.2802
544,0.2885
883,0.559
883,0.6624
883,0.4972
883,0.575
883,0.6137
883,0.6128
883,0.5599
883,0.5849
883,0.5725
883,0.5783
1181,0.5344
1181,0.508
1181,0.5175
1181,0.6261
1181,0.5765
1181,0.4789
1181,0.5156
1181,0.4832
1181,0.49
1181,0.5025
1497,0.2173
1497,0.2101
1497,0.202
1497,0.213
1497,0.2327
1497,0.2086
1497,0.2151
1497,0.2197
1497,0.2168
1497,0.2071
1726,1.1157
1726,1.1921
1726,1.2568
1726,1.1823
1726,1.2176
1726,1.2535
1726,1.1161
1726,1.2397
1726,1.0868
1726,1.2776
2008,1.4626
2008,1.4998
2008,1.556
2008,1.4908
2008,1.5335
2008,1.6051
2008,1.4823
2008,1.3821
2008,1.5705
2008,1.521
2444,0.4215
2444,0.4317
2444,0.4184
2444,0.4323
2444,0.4925
2444,0.4721
2444,0.4361
2444,0.4653
2444,0.4525
2444,0.4269
2658,0.3256
2658,0.3495
2658,0.3384
2658,0.3188
2658,0.3268
2658,0.3327
2658,0.3336
2658,0.3033
2658,0.3273
2658,0.3329
2876,6.4429
2876,6.4774
2876,6.4474
2876,6.4217
2876,6.4851
2876,6.551
2876,6.4482
2876,6.4297
2876,6.4733
2876,6.4982
3343,7.5259
3343,7.4638
3343,7.502
3343,7.5976
3343,7.5039
3343,7.4249
3343,7.4106
3343,7.5732
3343,7.65
3343,7.5555
3575,7.2861
3575,7.1457
3575,7.1838
3575,7.2243
3575,7.1961
3575,7.343
3575,7.1943
3575,7.2552
3575,7.23
3575,7.2415
3854,9.9516
3854,10.0901
3854,10.2585
3854,10.1148
3854,10.0804
3854,9.9943
3854,10.1472
3854,10.1208
3854,10.1373
3854,9.894
4119,13.5881
4119,13.2416
4119,13.6502
4119,13.4274
4119,13.5592
4119,14.018
4119,13.9013
4119,13.7304
4119,13.7431
4119,13.8643
4456,9.2348
4456,9.1982
4456,9.196
4456,9.1422
4456,9.3594
4456,9.3258
4456,9.3579
4456,9.2536
4456,9.2021
4456,9.2158
4822,10.8795
4822,10.6137
4822,10.8918
4822,10.989
4822,11.0122
4822,10.7933
4822,10.8308
4822,10.919
4822,10.7944
4822,10.8692
4997,7.7602
4997,7.7089
4997,7.7027
4997,7.5406
4997,7.6211
4997,7.6665
4997,7.6296
4997,7.7477
4997,7.6216
4997,7.6914
5322,7.2181
5322,4.2212
5322,7.227
5322,7.2241
5322,7.238
5322,7.1991
5322,7.2634
5322,7.2224
5322,7.1824
5322,7.2132
5596,7.1982
5596,7.2698
5596,7.225
5596,7.1727
5596,7.1702
5596,7.1533
5596,7.2294
5596,7.1615
5596,7.2538
5596,7.2699
6019,10.462
6019,10.3504
6019,10.5665
6019,10.5824
6019,10.5118
6019,10.424
6019,10.3518
6019,10.4455
6019,10.2652
6019,10.6256
18196,54.967
18196,53.3861
18196,55.2631
18196,58.8114
18196,52.5862
18196,54.194
18196,56.5666
18196,52.9089
18196,55.7629
18196,58.9619
18396,31.9287
18396,33.4869
18396,29.8398
18396,33.155
18396,33.2946
18396,27.1119
18396,31.8881
18396,31.9488
18396,25.0708
18396,26.4081
18596,31.9749
18596,44.1958
18596,42.6632
18596,36.0971
18596,44.2079
18596,33.1522
18596,41.3804
18596,33.4978
18596,33.9039
18596,30.2341
18796,164.8494
18796,136.4537
18796,186.5425
18796,193.8621
18796,194.8024
18796,189.1036
18796,166.6256
18796,187.7567
18796,157.7231
18796,199.1467
18996,129.4101
18996,134.4791
18996,127.4412
18996,106.8384
18996,131.749
18996,106.5375
18996,127.7906
18996,127.8894
18996,125.9443
18996,108.7473
16196,34.4302
16196,44.0031
16196,55.8394
16196,37.1154
16196,38.7587
16196,37.5606
16196,35.5401
16196,35.8853
16196,35.5806
16196,41.4031
16396,60.4669
16396,62.9611
16396,55.4214
16396,65.9838
16396,64.9015
16396,64.3156
16396,65.5004
16396,53.4171
16396,63.6095
16396,60.7393
16596,17.6629
16596,14.5588
16596,14.8929
16596,14.1331
16596,13.9608
16596,14.4688
16596,14.2612
16596,14.3688
16596,14.5405
16596,13.7878
16796,156.0901
16796,299.1091
16796,223.9461
16796,299.1585
16796,213.8734
16796,270.2926
16796,206.8384
16796,185.2586
16796,158.7404
16796,214.7272
16996,42.3322
16996,39.0744
16996,40.2616
16996,43.0811
16996,37.7803
16996,39.0209
16996,38.7242
16996,43.2221
16996,41.5264
16996,38.7621
17196,45.4593
17196,50.8949
17196,51.2008
17196,50.7686
17196,49.5773
17196,46.6206
17196,51.7141
17196,51.5628
17196,44.1971
17196,54.6885
17396,117.6727
17396,111.3296
17396,120.1961
17396,121.2708
17396,109.1383
17396,102.7261
17396,107.1246
17396,126.0254
17396,111.6342
17396,114.3273
17596,63.513
17596,59.5467
17596,61.7977
17596,62.5569
17596,67.1511
17596,61.8329
17596,59.8206
17596,61.2826
17596,66.2833
17596,69.1986
17796,22.5176
17796,23.1524
17796,22.3379
17796,26.7591
17796,25.1411
17796,24.8149
17796,24.5805
17796,24.3544
17796,28.2814
17796,24.325
17996,26.791
17996,25.5717
17996,28.3146
17996,26.5964
17996,27.5583
17996,23.4099
17996,25.3339
17996,25.5015
17996,26.1199
17996,24.3929
4196,12.5151
4196,11.9962
4196,11.4804
4196,12.6492
4196,11.3058
4196,11.2902
4196,12.5416
4196,12.1526
4196,11.7401
4196,12.9366
4396,32.7467
4396,33.5073
4396,29.7936
4396,33.9733
4396,34.6362
4396,30.6297
4396,29.4648
4396,30.7357
4396,32.0193
4396,32.5154
4596,78.7564
4596,85.8299
4596,88.237
4596,95.339
4596,80.0904
4596,77.6868
4596,100.6216
4596,94.6792
4596,74.3752
4596,70.9326
4796,47.2907
4796,47.5457
4796,48.5633
4796,50.8819
4796,52.7241
4796,51.1607
4796,46.7707
4796,60.8306
4796,52.8724
4796,55.5637
4996,29.8265
4996,29.3315
4996,32.1917
4996,30.3836
4996,31.6797
4996,29.4551
4996,28.5314
4996,30.1137
4996,26.8814
4996,29.026
5196,14.0882
5196,13.8436
5196,14.615
5196,13.7005
5196,14.1143
5196,13.4203
5196,14.5086
5196,14.3674
5196,14.2842
5196,14.0519
5396,77.117
5396,77.4186
5396,78.3285
5396,81.6526
5396,74.1949
5396,74.9236
5396,68.2789
5396,83.1368
5396,80.5262
5396,81.2169
5596,14.2012
5596,12.997
5596,12.454
5596,14.9727
5596,14.048
5596,13.6171
5596,14.4004
5596,14.4745
5596,13.9488
5596,14.7118
5796,11.9795
5796,12.6052
5796,12.7128
5796,11.4816
5796,12.6378
5796,12.2966
5796,12.4371
5796,12.0284
5796,12.8145
5796,11.5362
5996,25.278
5996,25.8411
5996,27.3316
5996,24.3107
5996,26.3171
5996,27.0666
5996,27.5844
5996,28.4369
5996,25.5901
5996,27.5854
6196,17.2511
6196,16.5913
6196,16.6467
6196,17.5459
6196,17.3765
6196,15.8069
6196,17.1196
6196,18.238
6196,14.8291
6196,17.1471
6396,153.4098
6396,122.9386
6396,132.0547
6396,145.6574
6396,191.7595
6396,169.4087
6396,137.5479
6396,187.961
6396,124.0035
6396,138.3948
6596,16.3863
6596,15.285
6596,15.3334
6596,16.6049
6596,14.3279
6596,15.069
6596,15.8716
6596,15.5974
6596,16.1898
6596,16.4724
6796,56.1988
6796,62.8689
6796,49.3788
6796,52.2899
6796,45.5614
6796,51.8124
6796,52.7807
6796,55.8452
6796,57.4549
6796,51.8328
6996,108.6634
6996,102.0138
6996,98.1267
6996,107.0334
6996,111.5654
6996,105.7616
6996,100.4676
6996,112.8542
6996,111.7033
6996,114.4975
7196,82.7614
7196,83.0417
7196,86.7063
7196,73.7842
7196,76.3708
7196,79.335
7196,77.3921
7196,79.3029
7196,80.9604
7196,79.6297
7396,21.4147
7396,22.7593
7396,21.8253
7396,20.6442
7396,22.8219
7396,20.3954
7396,21.5381
7396,20.9639
7396,20.9969
7396,22.8509
7596,13.9897
7596,13.7344
7596,16.1386
7596,15.3945
7596,14.7692
7596,15.5326
7596,13.6185
7596,14.4258
7596,14.7671
7596,15.9793
7796,20.758
7796,20.511
7796,19.8899
7796,21.3689
7796,21.002
7796,19.736
7796,19.9484
7796,20.2588
7796,18.4911
7796,19.8188
7996,23.574
7996,21.9977
7996,21.3442
7996,24.1651
7996,23.5369
7996,22.852
7996,21.3458
7996,22.8675
7996,21.3719
7996,22.1285
4196,8.6933
4196,8.6674
4196,8.9192
4196,8.6022
4196,8.5392
4196,9.1653
4196,8.996
4196,9.0845
4196,9.2577
4196,9.1239
4396,20.6433
4396,20.9867
4396,19.9035
4396,23.2917
4396,20.5463
4396,24.5964
4396,19.6258
4396,21.9361
4396,20.0075
4396,21.5486
4596,51.7835
4596,47.2135
4596,37.0384
4596,52.7363
4596,53.6195
4596,49.616
4596,47.7152
4596,44.6904
4596,40.6409
4596,38.9189
4796,27.4152
4796,27.1731
4796,26.4843
4796,23.8769
4796,29.4886
4796,23.3934
4796,31.5236
4796,25.3424
4796,27.8479
4796,28.6525
4996,18.7142
4996,19.1564
4996,17.9652
4996,19.8931
4996,19.0608
4996,19.9721
4996,18.898
4996,17.8036
4996,17.4864
4996,18.4357
5196,10.2649
5196,10.0666
5196,10.5854
5196,10.5115
5196,10.4966
5196,10.8726
5196,10.3575
5196,10.5655
5196,9.9945
5196,10.3365
5396,41.8504
5396,37.5732
5396,37.567
5396,47.0009
5396,48.0688
5396,43.5327
5396,45.425
